customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_total,cluster,segment_name,action,discount,channel
C0293,210,2,14777.369999999999,1,1,2,4,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0294,19,4,12122.44,4,3,2,9,2, Potential Growth,Engagement Promo,15%,Line OA
C0295,30,12,43331.62,4,4,4,12,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0296,27,5,20257.45,4,3,3,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0297,223,3,12231.439999999999,1,2,2,5,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0298,64,8,28189.24,2,4,3,9,2, Potential Growth,Engagement Promo,15%,Line OA
C0299,60,6,15684.929999999998,2,3,2,7,2, Potential Growth,Engagement Promo,15%,Line OA
C0300,47,22,77896.22,3,5,5,13,4, Champions,VIP Early Access,5–10%,Push Notification
C0301,55,15,59738.19,3,5,5,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0302,17,5,11167.64,4,3,2,9,2, Potential Growth,Engagement Promo,15%,Line OA
C0303,172,2,12832.369999999999,1,1,2,4,0, New / Occasional,Welcome Series,20%,SMS
C0304,86,7,28631.43,2,4,3,9,2, Potential Growth,Engagement Promo,15%,Line OA
C0305,80,2,7647.5599999999995,2,1,1,4,0, New / Occasional,Welcome Series,20%,SMS
C0306,72,4,11595.09,2,3,2,7,0, New / Occasional,Welcome Series,20%,SMS
C0307,17,5,22795.5,4,3,3,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0308,10,11,42445.29,5,4,4,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0309,148,3,11960.9,1,2,2,5,0, New / Occasional,Welcome Series,20%,SMS
C0310,8,9,26756.46,5,4,3,12,2, Potential Growth,Engagement Promo,15%,Line OA
C0311,70,5,27142.42,2,3,3,8,2, Potential Growth,Engagement Promo,15%,Line OA
C0312,34,21,77552.31999999999,3,5,5,13,4, Champions,VIP Early Access,5–10%,Push Notification
C0313,39,18,45381.17,3,5,4,12,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0314,77,3,11186.689999999999,2,2,2,6,0, New / Occasional,Welcome Series,20%,SMS
C0315,125,1,5645.0,1,1,1,3,0, New / Occasional,Welcome Series,20%,SMS
C0316,191,2,3304.0299999999997,1,1,1,3,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0317,16,5,11280.560000000001,4,3,2,9,2, Potential Growth,Engagement Promo,15%,Line OA
C0318,3,8,36727.58,5,4,4,13,2, Potential Growth,Engagement Promo,15%,Line OA
C0319,27,11,53240.25,4,4,5,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0320,7,12,42679.17,5,4,4,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0321,92,3,6252.78,2,2,1,5,0, New / Occasional,Welcome Series,20%,SMS
C0322,67,3,9360.48,2,2,2,6,0, New / Occasional,Welcome Series,20%,SMS
C0323,3,3,11015.45,5,2,2,9,2, Potential Growth,Engagement Promo,15%,Line OA
C0324,50,8,35554.98,3,4,4,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0325,62,4,12774.21,2,3,2,7,0, New / Occasional,Welcome Series,20%,SMS
C0326,158,2,14579.02,1,1,2,4,0, New / Occasional,Welcome Series,20%,SMS
C0327,9,7,26911.89,5,4,3,12,2, Potential Growth,Engagement Promo,15%,Line OA
C0328,4,7,17123.510000000002,5,4,3,12,2, Potential Growth,Engagement Promo,15%,Line OA
C0329,37,4,14819.85,3,3,2,8,2, Potential Growth,Engagement Promo,15%,Line OA
C0330,29,11,42783.65,4,4,4,12,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0331,104,3,10037.42,2,2,2,6,0, New / Occasional,Welcome Series,20%,SMS
C0332,110,2,11105.68,2,1,2,5,0, New / Occasional,Welcome Series,20%,SMS
C0333,56,15,53127.35,3,5,5,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0334,15,11,45247.07,4,4,4,12,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0335,8,16,75344.31,5,5,5,15,4, Champions,VIP Early Access,5–10%,Push Notification
C0336,33,21,113301.44,3,5,5,13,4, Champions,VIP Early Access,5–10%,Push Notification
C0337,38,2,3479.7000000000003,3,1,1,5,0, New / Occasional,Welcome Series,20%,SMS
C0338,131,1,595.68,1,1,1,3,0, New / Occasional,Welcome Series,20%,SMS
C0339,112,3,15525.14,2,2,2,6,0, New / Occasional,Welcome Series,20%,SMS
C0340,6,22,69611.09,5,5,5,15,4, Champions,VIP Early Access,5–10%,Push Notification
C0341,6,6,25376.19,5,3,3,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0342,58,7,21385.31,3,4,3,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0343,5,13,50373.68,5,5,4,14,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0344,5,6,14641.64,5,3,2,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0345,15,6,32805.82,4,3,4,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0346,155,3,18158.14,1,2,3,6,0, New / Occasional,Welcome Series,20%,SMS
C0347,32,4,6509.960000000001,3,3,1,7,2, Potential Growth,Engagement Promo,15%,Line OA
C0348,55,17,72856.91,3,5,5,13,4, Champions,VIP Early Access,5–10%,Push Notification
C0349,3,7,30002.54,5,4,4,13,2, Potential Growth,Engagement Promo,15%,Line OA
C0350,52,6,28803.69,3,3,3,9,2, Potential Growth,Engagement Promo,15%,Line OA
C0351,38,3,22876.94,3,2,3,8,2, Potential Growth,Engagement Promo,15%,Line OA
C0352,26,4,22249.98,4,3,3,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0353,108,1,2636.46,2,1,1,4,0, New / Occasional,Welcome Series,20%,SMS
C0354,16,15,62267.73,4,5,5,14,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0355,25,16,76168.55,4,5,5,14,4, Champions,VIP Early Access,5–10%,Push Notification
C0356,27,4,24416.53,4,3,3,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0357,18,17,78154.12,4,5,5,14,4, Champions,VIP Early Access,5–10%,Push Notification
C0358,67,6,42287.87,2,3,4,9,2, Potential Growth,Engagement Promo,15%,Line OA
C0359,90,3,19819.22,2,2,3,7,0, New / Occasional,Welcome Series,20%,SMS
C0360,13,8,14765.2,5,4,2,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0361,20,7,40811.42,4,4,4,12,2, Potential Growth,Engagement Promo,15%,Line OA
C0362,30,7,35450.47,4,4,4,12,2, Potential Growth,Engagement Promo,15%,Line OA
C0363,106,5,15238.37,2,3,2,7,0, New / Occasional,Welcome Series,20%,SMS
C0364,199,3,8932.22,1,2,1,4,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0365,92,1,1566.08,2,1,1,4,0, New / Occasional,Welcome Series,20%,SMS
C0366,13,5,18931.45,5,3,3,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0367,233,1,1379.98,1,1,1,3,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0368,149,3,11594.029999999999,1,2,2,5,0, New / Occasional,Welcome Series,20%,SMS
C0369,17,13,51037.29,4,5,4,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0370,37,24,91298.86,3,5,5,13,4, Champions,VIP Early Access,5–10%,Push Notification
C0371,10,8,28735.74,5,4,3,12,2, Potential Growth,Engagement Promo,15%,Line OA
C0372,10,23,74973.62,5,5,5,15,4, Champions,VIP Early Access,5–10%,Push Notification
C0373,43,16,45740.5,3,5,4,12,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0374,108,2,7081.05,2,1,1,4,0, New / Occasional,Welcome Series,20%,SMS
C0375,17,23,84999.66,4,5,5,14,4, Champions,VIP Early Access,5–10%,Push Notification
C0376,11,8,26179.33,5,4,3,12,2, Potential Growth,Engagement Promo,15%,Line OA
C0377,93,1,376.36,2,1,1,4,0, New / Occasional,Welcome Series,20%,SMS
C0378,30,21,92284.53,4,5,5,14,4, Champions,VIP Early Access,5–10%,Push Notification
C0379,319,1,1843.4,1,1,1,3,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0380,151,7,31408.05,1,4,4,9,0, New / Occasional,Welcome Series,20%,SMS
C0381,53,7,28404.730000000003,3,4,3,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0382,71,2,8665.28,2,1,1,4,0, New / Occasional,Welcome Series,20%,SMS
C0383,5,5,22666.22,5,3,3,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0384,48,3,5360.24,3,2,1,6,0, New / Occasional,Welcome Series,20%,SMS
C0385,37,2,9493.880000000001,3,1,2,6,2, Potential Growth,Engagement Promo,15%,Line OA
C0386,114,2,2137.65,2,1,1,4,0, New / Occasional,Welcome Series,20%,SMS
C0387,48,14,31273.899999999998,3,5,4,12,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0388,96,8,31504.66,2,4,4,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0389,296,1,2139.6,1,1,1,3,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0390,45,1,2844.49,3,1,1,5,0, New / Occasional,Welcome Series,20%,SMS
C0391,297,2,18125.78,1,1,3,5,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0392,202,5,24992.05,1,3,3,7,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0393,81,2,9960.84,2,1,2,5,0, New / Occasional,Welcome Series,20%,SMS
C0394,321,1,4445.02,1,1,1,3,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0395,13,13,42653.12,5,5,4,14,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0396,115,3,11088.59,2,2,2,6,0, New / Occasional,Welcome Series,20%,SMS
C0397,241,3,15698.91,1,2,2,5,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0398,65,6,15682.490000000002,2,3,2,7,2, Potential Growth,Engagement Promo,15%,Line OA
C0399,83,2,5805.18,2,1,1,4,0, New / Occasional,Welcome Series,20%,SMS
C0400,201,1,1492.32,1,1,1,3,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0401,94,14,67662.24,2,5,5,12,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0402,36,3,8675.009999999998,3,2,1,6,2, Potential Growth,Engagement Promo,15%,Line OA
C0403,3,5,19413.129999999997,5,3,3,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0404,304,3,11613.79,1,2,2,5,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0405,2,14,57871.54,5,5,5,15,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0406,164,4,23039.06,1,3,3,7,0, New / Occasional,Welcome Series,20%,SMS
C0407,35,7,44173.740000000005,3,4,4,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0408,4,16,97483.9,5,5,5,15,4, Champions,VIP Early Access,5–10%,Push Notification
C0409,137,2,20253.36,1,1,3,5,0, New / Occasional,Welcome Series,20%,SMS
C0410,6,18,71557.59,5,5,5,15,4, Champions,VIP Early Access,5–10%,Push Notification
C0411,47,13,64211.31,3,5,5,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0412,240,2,12062.94,1,1,2,4,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0413,50,2,9210.44,3,1,2,6,0, New / Occasional,Welcome Series,20%,SMS
C0414,101,3,18262.59,2,2,3,7,0, New / Occasional,Welcome Series,20%,SMS
C0415,38,8,33290.83,3,4,4,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0416,99,4,21266.6,2,3,3,8,0, New / Occasional,Welcome Series,20%,SMS
C0417,10,13,46705.45,5,5,4,14,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0418,25,10,41178.68,4,4,4,12,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0419,69,3,13282.2,2,2,2,6,0, New / Occasional,Welcome Series,20%,SMS
C0420,130,2,12430.55,1,1,2,4,0, New / Occasional,Welcome Series,20%,SMS
C0421,67,1,1037.97,2,1,1,4,0, New / Occasional,Welcome Series,20%,SMS
C0422,81,3,12854.93,2,2,2,6,0, New / Occasional,Welcome Series,20%,SMS
C0423,12,19,74378.17,5,5,5,15,4, Champions,VIP Early Access,5–10%,Push Notification
C0424,71,6,16404.0,2,3,3,8,2, Potential Growth,Engagement Promo,15%,Line OA
C0425,10,19,79525.94,5,5,5,15,4, Champions,VIP Early Access,5–10%,Push Notification
C0426,7,4,14548.23,5,3,2,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0427,60,4,16102.34,2,3,2,7,2, Potential Growth,Engagement Promo,15%,Line OA
C0428,13,2,10921.76,5,1,2,8,2, Potential Growth,Engagement Promo,15%,Line OA
C0429,10,3,14382.32,5,2,2,9,2, Potential Growth,Engagement Promo,15%,Line OA
C0430,8,14,50198.41,5,5,4,14,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0431,4,13,58931.29,5,5,5,15,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0432,313,1,3878.32,1,1,1,3,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0433,31,6,30443.550000000003,4,3,4,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0434,30,12,49090.79,4,4,4,12,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0435,3,19,72820.26000000001,5,5,5,15,4, Champions,VIP Early Access,5–10%,Push Notification
C0436,50,3,4480.82,3,2,1,6,0, New / Occasional,Welcome Series,20%,SMS
C0437,40,23,79391.06,3,5,5,13,4, Champions,VIP Early Access,5–10%,Push Notification
C0438,131,2,11346.0,1,2,2,5,0, New / Occasional,Welcome Series,20%,SMS
C0439,262,1,8533.47,1,1,1,3,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0440,10,19,96970.28,5,5,5,15,4, Champions,VIP Early Access,5–10%,Push Notification
C0441,6,16,48712.78,5,5,4,14,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0442,28,3,8326.35,4,2,1,7,2, Potential Growth,Engagement Promo,15%,Line OA
C0443,90,3,8223.83,2,2,1,5,0, New / Occasional,Welcome Series,20%,SMS
C0444,48,3,13646.9,3,2,2,7,2, Potential Growth,Engagement Promo,15%,Line OA
C0445,323,2,11140.45,1,2,2,5,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0446,83,2,6259.89,2,2,1,5,0, New / Occasional,Welcome Series,20%,SMS
C0447,29,4,18722.85,4,3,3,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0448,191,3,15566.29,1,2,2,5,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0449,17,7,19651.89,4,4,3,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0450,28,20,67993.56,4,5,5,14,4, Champions,VIP Early Access,5–10%,Push Notification
C0451,31,1,7206.0599999999995,4,1,1,6,2, Potential Growth,Engagement Promo,15%,Line OA
C0452,10,2,4066.96,5,2,1,8,2, Potential Growth,Engagement Promo,15%,Line OA
C0453,37,4,19372.0,3,3,3,9,2, Potential Growth,Engagement Promo,15%,Line OA
C0454,79,1,6315.36,2,1,1,4,0, New / Occasional,Welcome Series,20%,SMS
C0455,11,12,49955.770000000004,5,4,4,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0456,61,6,25889.54,2,3,3,8,2, Potential Growth,Engagement Promo,15%,Line OA
C0457,6,19,82215.24,5,5,5,15,4, Champions,VIP Early Access,5–10%,Push Notification
C0458,31,7,34024.28,4,4,4,12,2, Potential Growth,Engagement Promo,15%,Line OA
C0459,39,15,71444.24,3,5,5,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0460,65,8,35242.62,2,4,4,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0461,14,15,51004.06,4,5,4,13,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0462,74,4,15464.78,2,3,2,7,0, New / Occasional,Welcome Series,20%,SMS
C0463,98,3,3864.0699999999997,2,2,1,5,0, New / Occasional,Welcome Series,20%,SMS
C0464,65,4,27721.8,2,3,3,8,2, Potential Growth,Engagement Promo,15%,Line OA
C0465,13,3,7035.219999999999,5,2,1,8,2, Potential Growth,Engagement Promo,15%,Line OA
C0466,31,3,2219.52,4,2,1,7,2, Potential Growth,Engagement Promo,15%,Line OA
C0467,56,12,31649.72,3,5,4,12,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0468,8,1,2771.37,5,1,1,7,2, Potential Growth,Engagement Promo,15%,Line OA
C0469,65,12,65890.41,2,5,5,12,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0470,10,4,27512.149999999998,5,3,3,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0471,5,15,65652.97,5,5,5,15,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0472,347,2,11193.1,1,2,2,5,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0473,9,18,74900.77,5,5,5,15,4, Champions,VIP Early Access,5–10%,Push Notification
C0474,52,2,8634.44,3,2,1,6,0, New / Occasional,Welcome Series,20%,SMS
C0475,60,7,26580.64,2,4,3,9,2, Potential Growth,Engagement Promo,15%,Line OA
C0476,356,1,7129.08,1,1,1,3,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0477,12,15,57318.96,5,5,5,15,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0478,29,8,23665.52,4,4,3,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0479,155,1,1037.97,1,1,1,3,0, New / Occasional,Welcome Series,20%,SMS
C0480,206,4,14742.810000000001,1,3,2,6,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0481,53,6,18879.14,3,3,3,9,2, Potential Growth,Engagement Promo,15%,Line OA
C0482,68,2,6785.790000000001,2,2,1,5,0, New / Occasional,Welcome Series,20%,SMS
C0483,36,6,30595.870000000003,3,3,4,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0484,68,8,40310.7,2,4,4,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0485,36,6,35422.69,3,3,4,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0486,20,4,15699.79,4,3,2,9,2, Potential Growth,Engagement Promo,15%,Line OA
C0487,3,19,75685.09999999999,5,5,5,15,4, Champions,VIP Early Access,5–10%,Push Notification
C0488,92,8,32548.28,2,4,4,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0489,50,2,11166.04,3,2,2,7,0, New / Occasional,Welcome Series,20%,SMS
C0490,216,2,16186.04,1,2,3,6,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0491,86,7,33601.61,2,4,4,10,2, Potential Growth,Engagement Promo,15%,Line OA
C0492,74,4,19028.39,2,3,3,8,0, New / Occasional,Welcome Series,20%,SMS
C0493,30,8,29577.99,4,4,4,12,2, Potential Growth,Engagement Promo,15%,Line OA
C0494,17,11,29864.2,4,4,4,12,1, Loyal Customers,Cross-sell Bundle,10–15%,Email
C0495,137,2,4063.67,1,2,1,4,0, New / Occasional,Welcome Series,20%,SMS
C0496,4,4,16110.130000000001,5,3,3,11,2, Potential Growth,Engagement Promo,15%,Line OA
C0497,268,3,10053.85,1,2,2,5,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
C0498,24,23,81884.48,4,5,5,14,4, Champions,VIP Early Access,5–10%,Push Notification
C0499,136,3,20286.41,1,2,3,6,0, New / Occasional,Welcome Series,20%,SMS
C0500,213,1,8533.47,1,1,1,3,3, At Risk / Churned,Win-back Campaign,30%+,Email + SMS
